id,archive_ident,title,summary,archive_note,begin_date,end_date,minimum_latitude,minimum_longitude,maximum_latitude,maximum_longitude,spatial_type,frequency_id,horizontal_resolution_id,vertical_resolution_id,progress,quality,current_version_id,language_id,point_of_contact_id,internal_contact_id,grant_contact_id,grant_code,file_event_label,auth_reqd,eula_reqd,online_orderable,offline_orderable,browseable,dodsable,is_eol_data,latest_file_id,latest_file_begin_date,catalog_visible,visible,row_create_contact_id,row_create_time,row_revise_contact_id,row_revise_time
4372,72.079,"QuikSCAT Smoothed Data [OSU]","This dataset contains EPIC 2001 satellite QuikSCAT SeaWinds smoothed data from 10 September to 24 October 2001.",NULL,"2001-09-10 00:00:00","2001-10-24 23:59:59",-20.00000,-120.00000,20.00000,-90.00000,point,35,1,1,NULL,NULL,NULL,123,112,136,NULL,NULL,NULL,0,0,1,0,1,0,0,NULL,NULL,0,1,72,"2006-06-12 14:51:14",73,"2020-01-10 20:46:16"
291147,93.325,"Mexican Navy Coastal Surface Data (EMAS)",NULL,"This dataset links to supplemental information for the project.","2006-03-01 00:00:00","2006-03-30 23:59:00",14.00000,-120.00000,33.00000,-80.00000,NULL,1,1,1,completed,final,NULL,123,1,31,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,NULL,0,1,1,"1970-01-01 00:00:01",149,"2020-05-15 19:54:06"
8899,48.012,"SGP99 Upper Air: NOAA Wind Profiler Network Hourly Surface","This dataset contains the National Oceanic and Atmospheric Administration (NOAA) 405 MHZ Wind Profiler Network (NPN) hourly surface data in JOSS Quality Control formatfrom 2 sites within the SGP 1999 area of interest.  These data were not quality controlled by the University Corporation for Atmospheric Research/Joint Office for Science Support (UCAR/JOSS).",NULL,"1999-07-01 00:00:00","1999-07-31 23:59:59",34.50000,-99.00000,37.00000,-97.00000,point,23,1,1,NULL,NULL,NULL,123,1,73,NULL,NULL,NULL,0,0,1,0,1,0,0,NULL,NULL,0,1,179,"2011-08-24 17:30:26",179,"2017-05-17 19:39:17"
5487,46.826,"Otuk Creek Stream Discharge Data (Excel) [Hinzman, L.]","This dataset contains stream flow data from Otuk Creek on the Seward Peninsula in Alaska. The stream discharge was monitored several times a day during snowmelt and periodically after snowmelt until late summer by taking individual measurements using a Flowmate current meter and a wading rod. Data is provided as an Excel spreadsheet and separated by year.",NULL,"2000-06-04 00:00:00","2000-09-21 23:59:59",68.49000,-155.72000,68.49000,-155.72000,point,35,1,1,NULL,NULL,2052,123,276,171,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,72,"2007-11-05 09:28:51",73,"2020-01-27 19:17:19"
7063,102.075,"HLY-08-03 DMSP Satellite Images [Sambrotto/LDEO]","<p>This dataset includes images from the Defense Meteorological Satellites Program (DMSP) satellites. The images are from the satellite passes that occurred over the Bering Sea during the US Coast Guard Cutter Healy&nbsp;<span>Bering Sea Ecosystem Study-Bering Sea Integrated Ecosystem Research Program (BEST-BSIERP)</span>&nbsp;2008 0803 (summer) cruise.&nbsp;<span>BEST-BSIERP together are the Bering Sea project.&nbsp;</span>The images are from the F12, F13, F14, F15 and F16 satellites and include 1 km visible, 4 km visible and infrared (IR), and total ice products and are in jpeg format.</p>",NULL,"2008-07-02 01:01:00","2008-07-31 23:59:59",53.00000,-180.00000,63.00000,-163.00000,raster,35,1,1,NULL,NULL,773,123,1,708,NULL,NULL,NULL,0,0,1,0,1,0,0,NULL,NULL,0,1,708,"2009-10-29 20:02:22",2261,"2017-11-16 18:23:47"
5343,46.6640,"Council Climate Data - Shrub Site (Excel) [Beringer, J.]","<p>This dataset includes climate data from the shrub site area in the Council region gathered during the 2000 summer field season in Excel format.</p>",NULL,"2000-05-10 00:00:00","2000-06-19 23:59:59",64.83000,-164.73000,65.20000,-163.63000,multiple,20,1,1,NULL,NULL,2137,123,315,149,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,72,"2007-11-02 13:32:14",1622,"2017-05-18 16:22:13"
3348,66.006,"COMET CASE 037 Surface Airways Observations","This dataset contains surface observation data in GEMPAK formatted files.  There is one file per day containing hourly data for the day.",NULL,"2001-06-05 00:00:00","2001-06-19 23:59:59",20.00000,-135.00000,60.00000,-60.00000,point,23,1,1,NULL,NULL,NULL,123,2,2,NULL,NULL,NULL,0,0,1,0,1,0,0,NULL,NULL,0,1,190,"2002-02-08 10:29:29",190,"2015-06-01 17:25:41"
912,3.477,"COMET CASE 010 WSR-88D Radial Velocity (lowest tilt angle) from Wichita, KS (ICT)","This dataset contains the velocity relative to radar (lowest tilt angle) data product archived from the Wichita, KS (ICT) radar. Data are archived in the NIDS format.  ",NULL,"1997-05-26 00:00:00","1997-05-27 23:59:59",34.60000,-100.40000,40.60000,-94.40000,raster,11,1,1,NULL,NULL,NULL,123,2,2,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,142,"1998-05-07 17:14:42",142,"2015-06-01 17:25:41"
23994,255.038,"Oil Industry Zooplankton Ecology Data [Hopcroft]","<p>The primary objective of the planktonic communities program is to describe spatial, seasonal and interannual characteristics of the plankton (phytoplankton and zooplankton) communities within the study areas.
<br />

<br />
Phytoplankton, along with algae that grow attached to sea ice, are the conduit of the sun's energy into organic &quot;food&quot; at the base of the food chain in the Chukchi Sea. Phytoplankton are assessed as chlorophyll-a concentration from water samples collected with a Conductivity, Temperature, Depth (CTD) rosette. We also measure the concentration of the major nutrients required for their growth in these samples. Zooplankton are the major consumers of phytoplankton, and hence the key pathway to vertebrates such as pelagic fish, seabirds, and even bowhead whales. Zooplankton are collected using two different methods: paired ring nets of medium-size mesh hauled vertically at slow speed for smaller species, and Bongo nets towed off the side of a ship moving at 2 knots for larger, faster species. This dataset is part of the Pacific Marine Arctic Regional Synthesis (PacMARS) Project.
<br />

<br />
This dataset contains the original CSV files, metadata files, shapefiles, and geodatabase files in ZIP files.</p>",NULL,"2008-07-20 00:00:00","2011-10-14 23:59:59",70.01990,-166.03035,71.99527,-162.18753,point,35,1,1,NULL,NULL,856,123,1175,708,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,864,"2013-05-29 18:45:26",1622,"2016-07-28 22:25:54"
2873,59.064,"COMET CASE 032 WSR-88D Radial Velocity (fourth-lowest tilt angle) from CENTRAL PENNSYLVANIA","This dataset contains the  WSR-88D Radial Velocity (fourth-lowest tilt angle) data product archived from the  CENTRAL PENNSYLVANIA (CCX) radar. Data are archived in the NIDS format.",NULL,"2000-11-18 00:00:00","2000-11-21 23:59:59",38.92000,-80.00000,42.92000,-76.00000,grid,11,1,1,NULL,NULL,NULL,123,2,2,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,190,"2001-02-27 14:33:38",190,"2015-06-01 17:25:41"
